adduser|3.115
libapparmor1|2.11.0-3+deb9u2
libappindicator1|0.4.92-4
libappindicator3-1|0.4.92-4
libapr1|1.5.2-5
libaprutil1|1.5.4-3
libaprutil1-dbd-sqlite3|1.5.4-3
libaprutil1-ldap|1.5.4-3
libapt-inst2.0|1.4.9
libapt-pkg5.0|1.4.9
libasan3|6.3.0-18+deb9u1
libasound2|1.1.3-5
libasound2-data|1.1.3-5
libaspell15|0.60.7~20110707-3+b2
libass9|2:0.13.7-dmo1
libassuan0|2.5.2-1~bpo9+1
libasyncns0|0.8-6
libatasmart4|0.19-4+b1
libatk-bridge2.0-0|2.22.0-2
libatk-wrapper-java|0.33.3-13+deb9u1
libatk-wrapper-java-jni|0.33.3-13+deb9u1
libatk1.0-0|2.30.0-1~bpo9+1
libatk1.0-data|2.30.0-1~bpo9+1
libatomic1|6.3.0-18+deb9u1
libatspi2.0-0|2.30.0-2~bpo9+1
libattr1|1:2.4.47-2+b2
libaudio2|1.9.4-5+b1
libaudit-common|1:2.6.7-2
libaudit1|1:2.6.7-2
libavahi-client3|0.6.32-2
libavahi-common-data|0.6.32-2
libavahi-common3|0.6.32-2
libavc1394-0|0.5.4-4+b1
libavcodec57|10:3.3.9-dmo1+deb9u1
libavdevice57|10:3.3.9-dmo1+deb9u1
libavfilter6|10:3.3.9-dmo1+deb9u1
libavformat57|10:3.3.9-dmo1+deb9u1
libavresample3|10:3.3.9-dmo1+deb9u1
libavutil55|10:3.3.9-dmo1+deb9u1
libblas-common|3.7.0-2
libblas3|3.7.0-2
libblkid1|2.29.2-1+deb9u1
libblosc1|1.11.1+ds2-1
libbluray2|2:1.0.0-dmo1
libboost-atomic1.62.0|1.62.0+dfsg-4
libboost-chrono1.62.0|1.62.0+dfsg-4
libboost-date-time1.62.0|1.62.0+dfsg-4
libboost-filesystem1.62.0|1.62.0+dfsg-4
libboost-iostreams1.62.0|1.62.0+dfsg-4
libboost-locale1.62.0|1.62.0+dfsg-4
libboost-regex1.62.0|1.62.0+dfsg-4
libboost-system1.62.0|1.62.0+dfsg-4
libboost-thread1.62.0|1.62.0+dfsg-4
libbs2b0|3.1.0+dfsg-2.2
libbsd0|0.8.3-1
libburn4|1.4.6-1
libbz2-1.0|1.0.6-8.1
libc-ares2|1.12.0-1+deb9u1
libc-bin|2.24-11+deb9u4
libc-dev-bin|2.24-11+deb9u4
libc-l10n|2.24-11+deb9u4
libc6|2.24-11+deb9u4
libc6-dev|2.24-11+deb9u4
libcaca0|0.99.beta19-2+b2
libcairo-gobject2|1.14.8-1
libcairo2|1.14.8-1
libcanberra-gtk3-0|0.30-3
libcanberra0|0.30-3
libcap-ng0|0.7.7-3+b1
libcap2|1:2.25-1
libcap2-bin|1:2.25-1
libcc1-0|6.3.0-18+deb9u1
libcdio-cdda1|0.83-4.3+b1
libcdio-paranoia1|0.83-4.3+b1
libcdio13|0.83-4.3+b1
libcdt5|2.38.0-17
libcgraph6|2.38.0-17
libchromaprint1|1:1.4.2-dmo1
libcilkrts5|6.3.0-18+deb9u1
libcln6|1.3.4-2+b1
libcolord2|1.3.3-2
libcomerr2|1.43.4-2
libcrack2|2.9.2-5
libcroco3|0.6.11-3
libcryptsetup4|2:1.7.3-4
libcrystalhd3|1:0.0~git20110715.fdd2f19-12
libcups2|2.2.1-8+deb9u3
libcurl3|7.52.1-5+deb9u9
libcurl3-gnutls|7.52.1-5+deb9u9
libdatrie1|0.2.10-4+b1
libdb5.3|5.3.28-12+deb9u1
libdbi-perl|1.636-1+b1
libdbus-1-3|1.10.26-0+deb9u1
libdbus-glib-1-2|0.108-2
libdbusmenu-glib4|12.10.2-2
libdbusmenu-gtk3-4|12.10.2-2
libdbusmenu-gtk4|12.10.2-2
libdc1394-22|2.2.5-1
libdconf1|0.26.0-2+b1
libdebconfclient0|0.227
libdevmapper1.02.1|2:1.02.137-2
libdns-export162|1:9.10.3.dfsg.P4-12.3+deb9u4
libdouble-conversion1|2.0.1-4
libdpkg-perl|1.18.25
libdrm-amdgpu1|2.4.95-1~bpo9+1
libdrm-common|2.4.95-1~bpo9+1
libdrm-intel1|2.4.95-1~bpo9+1
libdrm-nouveau2|2.4.95-1~bpo9+1
libdrm-radeon1|2.4.95-1~bpo9+1
libdrm2|2.4.95-1~bpo9+1
libdvdnav4|5.0.3-3
libdvdread4|5.0.3-2
libedit2|3.1-20160903-3
libegl1-mesa|13.0.6-1+b2
libelf-dev|0.168-1
libelf1|0.168-1
libenchant1c2a|1.6.0-11+b1
libepoxy0|1.3.1-2
liberror-perl|0.17024-1
libestr0|0.1.10-2
libevdev2|1.5.6+dfsg-1
libevent-2.0-5|2.0.21-stable-3
libexif12|0.6.21-2+b2
libexo-1-0|0.10.7-1
libexo-common|0.10.7-1
libexo-helpers|0.10.7-1
libexpat1|2.2.0-2+deb9u1
libexpat1-dev|2.2.0-2+deb9u1
libfastjson4|0.99.4-1
libfdisk1|2.29.2-1+deb9u1
libfdk-aac1|1:0.1.5-dmo2
libffi6|3.2.1-6
libfftw3-double3|3.3.5-3
libfftw3-single3|3.3.5-3
libflac8|1.3.2-1
libfontconfig1|2.11.0-6.7+b1
libfontenc1|1:1.1.3-1+b2
libfreetype6|2.6.3-3.2
libfribidi0|0.19.7-1+b1
libfuse2|2.9.7-1+deb9u2
libgbm1|13.0.6-1+b2
libgcc-6-dev|6.3.0-18+deb9u1
libgcc1|1:6.3.0-18+deb9u1
libgconf-2-4|3.2.6-4+b1
libgcrypt20|1.7.6-2+deb9u3
libgd3|2.2.4-2+deb9u4
libgdbm3|1.8.3-14
libgdk-pixbuf2.0-0|2.36.5-2+deb9u2
libgdk-pixbuf2.0-common|2.36.5-2+deb9u2
libgfortran3|6.3.0-18+deb9u1
libgif7|5.1.4-0.4
libgirepository-1.0-1|1.50.0-1+b1
libgl1|1.1.0-1~bpo9+1
libgl1-mesa-dri|18.2.8-2~bpo9+1
libgl1-mesa-glx|18.2.8-2~bpo9+1
libglade2-0|1:2.6.4-2
libglapi-mesa|18.2.8-2~bpo9+1
libglew2.0|2.0.0-3+b1
libglib2.0-0|2.50.3-2
libglu1-mesa|9.0.0-2.1
